Month,Item Name,Quantity,Unit Price($),Total Price($)
January,Apples,15,1.50,22.50
January,Potatoes,20,0.80,16.00
January,Tomatoes,10,2.00,20.00
February,Carrots,18,1.20,21.60
February,Onions,12,1.50,18.00
February,Garlic,8,3.00,24.00
March,Chicken,5,8.00,40.00
March,Milk,6,1.50,9.00
March,Butter,7,3.00,21.00
April,Peaches,14,2.50,35.00
April,Oranges,16,1.80,28.80
April,Rice,10,2.00,20.00
May,Bananas,22,1.00,22.00
May,Sugar,9,2.50,22.50
May,Eggs,18,0.70,12.60
June,Cheese,4,4.50,18.00
June,Spinach,13,1.80,23.40
June,Tomatoes,8,2.20,17.60
July,Lettuce,10,2.00,20.00
July,Garlic,7,3.20,22.40
July,Apples,12,1.60,19.20
August,Bread,20,1.00,20.00
August,Milk,8,1.40,11.20
August,Peaches,10,2.50,25.00
September,Watermelons,4,5.00,20.00
September,Carrots,15,1.10,16.50
September,Onions,11,1.60,17.60
October,Cucumber,9,2.30,20.70
October,Chicken,6,7.50,45.00
October,Rice,8,2.30,18.40
November,Apples,18,1.80,32.40
November,Tomatoes,14,2.00,28.00
November,Sugar,10,2.50,25.00
December,Potatoes,22,1.00,22.00
December,Carrots,12,1.20,14.40
December,Bananas,16,1.10,17.60
